"薬品名","棚番1","棚番2","棚番3","棚番4","棚番5","棚番6","棚番7"
"アムロジピンＯＤ錠２．５ｍｇ「あすか」","E14","P","","","","",""
"アムロジピンＯＤ錠５ｍｇ「あすか」","E14","P","","","","",""
"アメナリーフ錠２００ｍｇ","C20","","","","","",""
"ｱﾓｷｼｼﾘﾝｶﾌﾟｾﾙ250mg｢ﾄｰﾜ｣","C20","","","","","",""
"アモバン錠７．５","E19","","","","","",""
"アラセナ－Ａ軟膏３％","C2","G10","N4","","","",""
"アリドネパッチ５５ｍｇ","","","","","","",""
"２５ｍｇアリナミンＦ糖衣錠","C20","","","","","",""
"ｱﾘﾅﾐﾝEX PLUS 60錠(999999999988)","","","","","","",""
"アリピプラゾール錠１ｍｇ「サワイ」","E15","","","","","",""
"アリピプラゾールＯＤ錠３ｍｇ「日医工」","E15","","","","","",""
"アリミデックス錠１ｍｇ","E15","","","","","",""
"ｱﾙｳｪｯﾃｨone2 ｴﾀﾉｰﾙ 2枚×60包(999999999987)","","","","","","",""
"アルジオキサ錠１００ｍｇ「トーワ」","C20","","","","","",""
"アルジオキサ錠１００ｍｇ「あすか」","C20","","","","","",""
"アルダクトンＡ錠２５ｍｇ","C20","","","","","",""
"アルダクトンＡ細粒１０％","G9","","","","","",""
"アルプラゾラム錠０．４ｍｇ「トーワ」","E19","","","","","",""
"ｱﾙﾌｧｶﾙｼﾄﾞｰﾙ錠0.5μg｢ｱﾒﾙ｣","E15","P","","","","",""
"ｱﾙﾌｧｶﾙｼﾄﾞｰﾙｶﾌﾟｾﾙ1.0μg｢ﾌｿｰ｣","","","","","","",""
"ｱﾙﾌｧｶﾙｼﾄﾞｰﾙ錠1.0μg｢ｱﾒﾙ｣","E15","","","","","",""
"ｱﾙﾌｧｶﾙｼﾄﾞｰﾙｶﾌﾟｾﾙ0.25μg｢BMD｣","E15","","","","","",""
"ｱﾙﾌｧｶﾙｼﾄﾞｰﾙｶﾌﾟｾﾙ1μg｢NIG｣","E15","","","","","",""
"アルメタ軟膏(０．１％)","C2","N1","","","","",""
"アルロイドＧ内用液５％","I5","","","","","",""
"アレグラ錠６０ｍｇ","C12","","","","","",""
"アレサガテープ４ｍｇ","E5","","","","","",""
"アレジオン錠１０","C20","","","","","",""
"アレジオンＬＸ点眼液０．１％","E10","","","","","",""
"アレジオン眼瞼クリーム０．５％","N4","","","","","",""
"アレジオン点眼液０．０５％","E10","","","","","",""
"アレビアチン錠１００ｍｇ","C20","","","","","",""
"アレロック錠５","E11","A5","","","","",""
"アレロック顆粒０．５％","C11","","","","","",""
"アレンドロン酸錠３５ｍｇ「ＤＫ」","E15","","","","","",""
"アローゼン顆粒","E3","","","","","",""
"ｱﾛﾁﾉﾛｰﾙ塩酸塩錠10mg｢ｻﾜｲ｣","C20","","","","","",""
"アロチノロール塩酸塩錠５ｍｇ「ＤＳＰ」","","","","","","",""
"アロチノロール塩酸塩錠５ｍｇ「サワイ」","C20","","","","","",""
"アロプリノール錠１００ｍｇ「杏林」","C20","P","","","","",""
"アロプリノール錠５０ｍｇ「サワイ」","C20","","","","","",""
"アンテベート軟膏０．０５％","E8","C9","N2","G10","","",""
"アンテベートローション０．０５％","E4","N2","","","","",""
"アンプラーグ錠１００ｍｇ","C20","","","","","",""
"ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩錠15mg｢ﾄｰﾜ｣","C20","P","","","","",""
"ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩DS小児用1.5%｢ﾀｶﾀ｣","C10","","","","","",""
"ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩徐放OD錠45mg｢ｻﾜｲ｣","C20","P","","","","",""
"ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩ｼﾛｯﾌﾟ小児用0.3%｢ﾀｶﾀ｣","D2","","","","","",""
"アンペック注１０ｍｇ","E6","","","","","",""
"アンペック注５０ｍｇ","E6","","","","","",""
"アンペック坐剤１０ｍｇ","E6","","","","","",""
"イーケプラ錠２５０ｍｇ","C19","","","","","",""
"イーシー・ドパール配合錠","C19","P","","","","",""
"ＥＰＬカプセル２５０ｍｇ","A6","","","","","",""
"イオウ・カンフルローション「東豊」","D3","","","","","",""
"イグザレルト錠１０ｍｇ","C19","P","","","","",""
"イグザレルト錠１５ｍｇ","C19","","","","","",""
"イグザレルトＯＤ錠１０ｍｇ","C19","","","","","",""
"イグザレルトＯＤ錠１５ｍｇ","C19","","","","","",""
