"薬品名","棚番1","棚番2","棚番3","棚番4","棚番5","棚番6","棚番7"
"チクロピジン塩酸塩錠１００ｍｇ「ＹＤ」","E12","","","","","",""
"ﾁｸﾛﾋﾟｼﾞﾝ塩酸塩錠100mg｢ﾄｰﾜ｣","E12","","","","","",""
"チザニジン錠１ｍｇ「サワイ」","E12","P","","","","",""
"ﾁﾓﾛｰﾙXE点眼液0.5%｢ﾆｯﾄｰ｣","E10","","","","","",""
"チラーヂンＳ錠１００μｇ","E16","","","","","",""
"チラーヂンＳ錠１２．５μｇ","E16","","","","","",""
"チラーヂンＳ錠２５μｇ","E16","","","","","",""
"チラーヂンＳ錠５０μｇ","E16","P","","","","",""
"チラーヂンＳ錠７５μｇ","E16","","","","","",""
"沈降炭酸カルシウム錠５００ｍｇ「三和」","E12","","","","","",""
"ツイミーグ錠５００ｍｇ","E12","","","","","",""
"ツインラインＮＦ配合経腸用液","","","","","","",""
"ツートラム錠２５ｍｇ","E16","","","","","",""
"ツートラム錠５０ｍｇ","E16","","","","","",""
"ツムラ安中散エキス顆粒（医療用）","A3","","","","","",""
"ツムラ温清飲エキス顆粒（医療用）","A3","","","","","",""
"ツムラ葛根湯エキス顆粒（医療用）","A4","","","","","",""
"ﾂﾑﾗ葛根湯加川きゅう辛夷ｴｷｽ顆粒(医療用)","A3","","","","","",""
"ツムラ加味逍遙散エキス顆粒（医療用）","A3","O","","","","",""
"ツムラ甘麦大棗湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ桔梗湯エキス顆粒（医療用）","A3","O","","","","",""
"ツムラ荊芥連翹湯エキス顆粒（医療用）","","","","","","",""
"ツムラ桂枝加芍薬湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ桂枝加朮附湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ桂枝茯苓丸エキス顆粒（医療用）","A3","","","","","",""
"ツムラ牛車腎気丸エキス顆粒（医療用）","A3","A4","","","","",""
"ツムラ呉茱萸湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ五淋散エキス顆粒（医療用）","A3","","","","","",""
"ツムラ五苓散エキス顆粒（医療用）","A3","A4","","","","",""
"ﾂﾑﾗ柴胡桂枝乾姜湯ｴｷｽ顆粒(医療用)","","","","","","",""
"ツムラ柴苓湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ柴陥湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ柴胡桂枝湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ柴朴湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ酸棗仁湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ十全大補湯エキス顆粒（医療用）","A4","A3","O","","","",""
"ツムラ滋陰至宝湯エキス顆粒（医療用）","O","","","","","",""
"ツムラ紫雲膏","G11","","","","","",""
"ツムラ四物湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ芍薬甘草湯エキス顆粒（医療用）","A4","","","","","",""
"ツムラ十味敗毒湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ潤腸湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ小建中湯エキス顆粒（医療用）","A3","A4","","","","",""
"ﾂﾑﾗ小柴胡湯加桔梗石膏ｴｷｽ顆粒(医療用)","A3","","","","","",""
"ツムラ小青竜湯エキス顆粒（医療用）","A3","O","","","","",""
"ツムラ辛夷清肺湯エキス顆粒（医療用）","A3","O","","","","",""
"ツムラ清上防風湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ清肺湯エキス顆粒（医療用）","A3","O","","","","",""
"ツムラ疎経活血湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ大黄牡丹皮湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ大黄甘草湯エキス顆粒（医療用）","A4","A3","","","","",""
"ツムラ大建中湯エキス顆粒（医療用）","A4","","","","","",""
"ツムラ治打撲一方エキス顆粒（医療用）","A3","","","","","",""
"ツムラ釣藤散エキス顆粒（医療用）","A3","","","","","",""
"ツムラ猪苓湯エキス顆粒（医療用）","A3","O","","","","",""
"ツムラ桃核承気湯エキス顆粒（医療用）","O","","","","","",""
"ﾂﾑﾗ当帰四逆加呉茱萸生姜湯ｴｷｽ顆粒(医療用)","A3","","","","","",""
"ツムラ当帰芍薬散エキス顆粒（医療用）","A3","","","","","",""
"ツムラ人参湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ女神散エキス顆粒（医療用）","A3","","","","","",""
"ツムラ人参養栄湯エキス顆粒（医療用）","A3","","","","","",""
"ツムラ麦門冬湯エキス顆粒（医療用）","A4","","","","","",""
"ツムラ八味地黄丸エキス顆粒（医療用）","A3","O","","","","",""
"ツムラ半夏厚朴湯エキス顆粒（医療用）","A3","O","","","","",""
"ツムラ半夏瀉心湯エキス顆粒（医療用）","A3","O","","","","",""
"ﾂﾑﾗ半夏白朮天麻湯ｴｷｽ顆粒(医療用)","A3","","","","","",""
"ツムラ白虎加人参湯エキス顆粒（医療用）","A3","","","","","",""
"ﾂﾑﾗ茯苓飲合半夏厚朴湯ｴｷｽ顆粒(医療用)","A3","","","","","",""
"ツムラ防已黄耆湯エキス顆粒（医療用）","O","","","","","",""
"ツムラ防風通聖散エキス顆粒（医療用）","A4","","","","","",""
"ツムラ補中益気湯エキス顆粒（医療用）","A4","A3","","","","",""
"ツムラ麻黄湯エキス顆粒（医療用）","A3","","","","","",""
"ﾂﾑﾗ麻黄附子細辛湯ｴｷｽ顆粒(医療用)","O3","O","","","","",""
"ツムラ麻子仁丸エキス顆粒（医療用）","A3","","","","","",""
"ツムラ抑肝散エキス顆粒（医療用）","A4","","","","","",""
"ﾂﾑﾗ抑肝散加陳皮半夏ｴｷｽ顆粒(医療用)","A3","O","","","","",""
"ツムラ六君子湯エキス顆粒（医療用）","A4","O","","","","",""
"ツムラ苓桂朮甘湯エキス顆粒（医療用）","A3","O","","","","",""
"ツロブテロールテープ２「オーハラ」","E5","","","","","",""
"ツロブテロールテープ２ｍｇ「トーワ」","E5","","","","","",""
"ツロブテロールテープ１ｍｇ「久光」","E5","","","","","",""
"d-ｸﾛﾙﾌｪﾆﾗﾐﾝﾏﾚｲﾝ酸塩錠2mg｢NIG｣","C18","","","","","",""
"Ｄ・Ｅ・Ｘ点眼液０．０２％「ニットー」","","","","","","",""
"ディフェリンゲル０．１％","C3","G10","N2","","","",""
"デエビゴ錠１０ｍｇ","E12","","","","","",""
"デエビゴ錠２．５ｍｇ","E12","","","","","",""
"デエビゴ錠５ｍｇ","E12","P","","","","",""
"テオドール錠１００ｍｇ","E12","","","","","",""
"テオドール錠２００ｍｇ","E16","","","","","",""
"テオドール錠５０ｍｇ","E12","","","","","",""
"テオフィリン徐放錠１００ｍｇ「サワイ」","E12","","","","","",""
"ﾃｵﾌｨﾘﾝ徐放U錠400mg｢ﾄｰﾜ｣","E16","","","","","",""
"ﾃｵﾌｨﾘﾝ徐放U錠200mg｢ﾄｰﾜ｣","E16","","","","","",""
"ﾃｵﾌｨﾘﾝ徐放ﾄﾞﾗｲｼﾛｯﾌﾟ小児用20%｢ｻﾜｲ｣","C10","","","","","",""
"テオロング錠１００ｍｇ","E12","","","","","",""
"ﾃｶﾞﾀﾞｰﾑﾛｰﾙ 10㎝×10m(999999999951)","","","","","","",""
"デカドロン錠０．５ｍｇ","E12","","","","","",""
"デカドロン錠４ｍｇ","E12","","","","","",""
"ﾃﾞｶﾄﾞﾛﾝ注射液1.65mg(0.5mL)","F","","","","","",""
"ﾃﾞｷｻﾒﾀｿﾞﾝｴﾘｷｼﾙ0.01%｢日新｣","D1","","","","","",""
"ﾃﾞｷｻﾒﾀｿﾞﾝﾌﾟﾛﾋﾟｵﾝ酸ｴｽﾃﾙ軟膏0.1%｢MYK｣","N2","","","","","",""
"ﾃﾞｷｻﾒﾀｿﾞﾝ口腔用軟膏0.1%｢NK｣","C6","N1","","","","",""
"ﾃﾞｷｽﾄﾛﾒﾄﾙﾌｧﾝ臭化水素酸塩錠15mg｢NP｣","E12","","","","","",""
"ﾃﾞｷｽﾄﾛﾒﾄﾙﾌｧﾝ臭化水素酸塩錠15mg｢ﾄｰﾜ｣","E12","","","","","",""
"デザレックス錠５ｍｇ","C16","","","","","",""
"テシプール錠１ｍｇ","E16","","","","","",""
"デスロラタジン錠５ｍｇ「ケミファ」","","","","","","",""
"手でかんたんにきれいに切れるﾃｰﾌﾟ優肌絆25㎜×7m","","","","","","",""
"手でかんたんにきれいに切れるﾃｰﾌﾟ優肌絆12㎜×7m","","","","","","",""
"テトラミド錠１０ｍｇ","E12","","","","","",""
"テネリア錠２０ｍｇ","E12","","","","","",""
"テネリアＯＤ錠２０ｍｇ","E12","","","","","",""
"デノタスチュアブル配合錠","C21","","","","","",""
"デノパミン錠５ｍｇ「日医工」","E12","","","","","",""
"デパケン錠２００ｍｇ","E12","","","","","",""
"デパケン細粒４０％","G10","","","","","",""
"デパス錠０．５ｍｇ","E19","","","","","",""
"テプレノンカプセル５０ｍｇ「日医工Ｐ」","E12","","","","","",""
"テプレノン細粒１０％「ＹＤ」","E3","","","","","",""
"テプレノンカプセル５０ｍｇ「サワイ」","E12","P","A6","","","",""
"デュアック配合ゲル","F","","","","","",""
"ﾃﾞｭﾀｽﾃﾘﾄﾞ錠0.5mgAV｢DSEP｣","E16","","","","","",""
"ﾃﾞｭﾀｽﾃﾘﾄﾞｶﾌﾟｾﾙ0.5mgAV｢DSEP｣","E16","","","","","",""
"ﾃﾞｭﾀｽﾃﾘﾄﾞｶﾌﾟｾﾙ0.5mgAV｢武田ﾃﾊﾞ｣","E16","","","","","",""
"デュピクセント皮下注３００ｍｇペン","F","","","","","",""
"デュファストン錠５ｍｇ","E12","","","","","",""
"デュロキセチンＯＤ錠２０ｍｇ「ニプロ」","E16","P","","","","",""
"テラ・コートリル軟膏","C6","","","","","",""
"テラマイシン軟膏（ポリミキシンＢ含有）","N4","","","","","",""
"テラムロ配合錠ＡＰ「ＤＳＥＰ」","E16","","","","","",""
"テラムロ配合錠ＡＰ「ニプロ」","E16","","","","","",""
"ﾃﾘﾎﾞﾝ皮下注28.2μgｵｰﾄｲﾝｼﾞｪｸﾀｰ","F","","","","","",""
"テリルジー１００エリプタ３０吸入用","E9","","","","","",""
"テリルジー２００エリプタ３０吸入用","E9","","","","","",""
"テルビナフィン錠１２５ｍｇ「サワイ」","","","","","","",""
"テルビナフィン錠１２５ｍｇ「タカタ」","C16","","","","","",""
"ﾃﾙﾋﾞﾅﾌｨﾝ塩酸塩ｸﾘｰﾑ1%｢JG｣","C5","","","","","",""
"ﾃﾙﾋﾞﾅﾌｨﾝ塩酸塩ｸﾘｰﾑ1%｢VTRS｣","N1","C5","C9","","","",""
"テルミサルタン錠２０ｍｇ「ＤＳＥＰ」","E12","P","","","","",""
"テルミサルタン錠４０ｍｇ「ＤＳＥＰ」","E12","P","","","","",""
"デルモベートクリーム０．０５％","N2","","","","","",""
"デルモゾールＧクリーム","C5","N4","","","","",""
"デルモゾールＧ軟膏","N4","C5","","","","",""
"デルモベート軟膏０．０５％","C4","N2","","","","",""
"ﾃﾞﾙﾓﾍﾞｰﾄｽｶﾙﾌﾟﾛｰｼｮﾝ0.05%","E4","","","","","",""
"テレミンソフト坐薬１０ｍｇ","N3","","","","","",""
"トアラセット配合錠「ＤＳＥＰ」","E16","P","","","","",""
"トアラセット配合錠「サワイ」","E16","","","","","",""
"ドキサゾシン錠２ｍｇ「ＶＴＲＳ」","E13","","","","","",""
"ドキサゾシン錠１ｍｇ「ＶＴＲＳ」","E13","","","","","",""
"ドキサゾシン錠４ｍｇ「ファイザー」","E13","","","","","",""
"ﾄｺﾌｪﾛｰﾙﾆｺﾁﾝ酸ｴｽﾃﾙｶﾌﾟｾﾙ100mg｢ﾄｰﾜ｣","E13","","","","","",""
"ﾄｽﾌﾛｷｻｼﾝﾄｼﾙ酸塩錠150mg｢ｻﾜｲ｣","E13","","","","","",""
"ドネペジル塩酸塩ＯＤ錠１０ｍｇ「ＮＰ」","E16","","","","","",""
"ドネペジル塩酸塩ＯＤ錠３ｍｇ「ＮＰ」","E16","","","","","",""
"ドネペジル塩酸塩ＯＤ錠３ｍｇ「ニプロ」","E16","","","","","",""
"ドネペジル塩酸塩ＯＤ錠５ｍｇ「ＮＰ」","E16","P","","","","",""
"ドネペジル塩酸塩ＯＤ錠５ｍｇ「ニプロ」","E16","","","","","",""
"ドパコール配合錠Ｌ１００","E13","P","","","","",""
"ドパコール配合錠Ｌ５０","E13","","","","","",""
"ドパストン散９８．５％","E3","","","","","",""
"トビエース錠４ｍｇ","E13","","","","","",""
"トピロリック錠２０ｍｇ","E13","","","","","",""
"トピロリック錠４０ｍｇ","E13","","","","","",""
"ドプスＯＤ錠１００ｍｇ","E13","","","","","",""
"トブラシン点眼液０．３％","E10","","","","","",""
"トフラニール錠１０ｍｇ","E13","","","","","",""
"ドボネックス軟膏５０μｇ／ｇ","C7","N2","C8","E8","G10","",""
"ドボベットフォーム","","","","","","",""
"ドボベットゲル","","","","","","",""
"ドボベット軟膏","C8","","","","","",""
"トラセミド錠４ｍｇ「ＫＯ」","E13","","","","","",""
"トラゼンタ錠５ｍｇ","E13","","","","","",""
"トラセミドＯＤ錠８ｍｇ「ＴＥ」","E13","","","","","",""
"トラゾドン塩酸塩錠２５ｍｇ「アメル」","E16","P","","","","",""
"トラゾドン塩酸塩錠５０ｍｇ「アメル」","E16","","","","","",""
"トラディアンス配合錠ＡＰ","E13","","","","","",""
"トラディアンス配合錠ＢＰ","E13","","","","","",""
"トラネキサム酸錠２５０ｍｇ「ＹＤ」","E13","","","","","",""
"ﾄﾗﾈｷｻﾑ酸ｶﾌﾟｾﾙ250mg｢ﾄｰﾜ｣","C14","E13","","","","",""
"ﾄﾗﾈｷｻﾑ酸錠250mg｢YD｣(外用)","","","","","","",""
"トラベルミン配合錠","E13","","","","","",""
"ドラマミン錠５０ｍｇ","E13","","","","","",""
"ﾄﾗﾏﾄﾞｰﾙ塩酸塩OD錠25mg｢KO｣","E16","","","","","",""
"トラムセット配合錠","E13","E16","","","","",""
"トランサミン錠２５０ｍｇ","C14","A5","","","","",""
"トランサミンシロップ５％","D1","","","","","",""
"トリアゾラム錠０．２５ｍｇ「日医工」","E19","","","","","",""
"トリアゾラム錠０．２５ｍｇ「テバ」","E19","","","","","",""
"トリクロルメチアジド錠１ｍｇ「ＮＰ」","E13","","","","","",""
"トリクロルメチアジド錠２ｍｇ「ＮＩＧ」","E13","","","","","",""
"トリクロルメチアジド錠２ｍｇ「ＮＰ」","E13","","","","","",""
"トリクロリールシロップ１０％","F","","","","","",""
"トリテレン・カプセル５０ｍｇ","E13","","","","","",""
"トリプタノール錠１０","E13","","","","","",""
"トリプタノール錠２５","E13","","","","","",""
"ﾄﾘﾍｷｼﾌｪﾆｼﾞﾙ塩酸塩錠2mg｢NIG｣","E13","","","","","",""
"ﾄﾘﾒﾌﾞﾁﾝﾏﾚｲﾝ酸塩錠100mg｢ﾄｰﾜ｣","E13","","","","","",""
"トルバプタンＯＤ錠１５ｍｇ「ＴＥ」","E16","","","","","",""
"トルバプタンＯＤ錠７．５ｍｇ「ＴＥ」","E16","P","","","","",""
"ドルモロール配合点眼液「ニットー」","E10","","","","","",""
"トルリシティ皮下注０．７５ｍｇアテオス","F","","","","","",""
"トレシーバ注　フレックスタッチ","F","","","","","",""
"ﾄﾞﾚｯｼﾝｸﾞﾃｰﾌﾟW(50㎜×5m)(999999999944)","","","","","","",""
"ﾄﾞﾚｯｼﾝｸﾞﾃｰﾌﾟW(100㎜×5m)(999999999945)","","","","","","",""
"ﾄﾞﾚｯｼﾝｸﾞﾃｰﾌﾟW 10㎝×10m(999999999894)","","","","","","",""
"ﾄﾞﾚｯｼﾝｸﾞﾃｰﾌﾟW 5㎝×10m(999999999999)","","","","","","",""
"トレミフェン錠４０ｍｇ「サワイ」","E16","","","","","",""
"トレリーフＯＤ錠２５ｍｇ","E16","","","","","",""
"トレリーフＯＤ錠５０ｍｇ","E16","","","","","",""
"ﾄﾞﾛｷｼﾄﾞﾊﾟｶﾌﾟｾﾙ200mg｢ｱﾒﾙ｣","E13","","","","","",""
"ドンペリドン坐剤１０ｍｇ「タカタ」","N3","","","","","",""
"ドンペリドン錠１０ｍｇ「サワイ」","E13","P","","","","",""
"ドンペリドン錠５ｍｇ「サワイ」","E13","","","","","",""
"ドンペリドン坐剤３０ｍｇ「タカタ」","N3","","","","","",""
"ナウゼリン錠１０","E20","","","","","",""
"ナウゼリン坐剤６０","N3","","","","","",""
"ﾅｼﾞﾌﾛｷｻｼﾝﾛｰｼｮﾝ1%｢ﾄｰﾜ｣","E7","E4","","","","",""
"ナゾネックス点鼻液５０μｇ５６噴霧用","E9","","","","","",""
"ナテグリニド錠９０ｍｇ「テバ」","E20","","","","","",""
"ナトリックス錠１","E20","","","","","",""
"ﾅﾉﾊﾟｽﾆｰﾄﾞﾙⅡ 34G/4mm(ﾃﾙﾓ)","A5","","","","","",""
"ナパゲルンクリーム３％","C7","A2","","","","",""
"ナパゲルン軟膏３％","A2","","","","","",""
"ナパゲルンローション３％","A2","","","","","",""
"ナフトピジルＯＤ錠２５ｍｇ「ケミファ」","E20","","","","","",""
"ナフトピジルＯＤ錠７５ｍｇ「ＮＩＧ」","E20","","","","","",""
"ナルサス錠２ｍｇ","E6","","","","","",""
"ナルサス錠１２ｍｇ","E6","","","","","",""
"ナルサス錠２４ｍｇ","E6","","","","","",""
"ナルサス錠６ｍｇ","E6","","","","","",""
"ﾅﾙﾌﾗﾌｨﾝ塩酸塩OD錠2.5μg｢ｻﾜｲ｣","E17","","","","","",""
"ナルラピド錠１ｍｇ","E6","","","","","",""
"ナルラピド錠４ｍｇ","E6","","","","","",""
"ニコランジル錠２．５ｍｇ「トーワ」","E20","","","","","",""
"ニコランジル錠５ｍｇ「サワイ」","E20","P","","","","",""
"ニセルゴリン錠５ｍｇ「日新」","E20","","","","","",""
"ニトラゼパム錠１０ｍｇ「ＪＧ」","E19","","","","","",""
"ニトラゼパム錠５ｍｇ「ＮＩＧ」","E19","","","","","",""
"ニトロールＲカプセル２０ｍｇ","E20","","","","","",""
"ニトロダームＴＴＳ２５ｍｇ","E5","","","","","",""
"ニトロールスプレー１．２５ｍｇ","E9","","","","","",""
"ニトロペン舌下錠０．３ｍｇ","E17","","","","","",""
"ニフェジピンＣＲ錠２０ｍｇ「ＮＰ」","E17","","","","","",""
"ニフェジピンＣＲ錠２０ｍｇ「日医工」","E17","P","","","","",""
"ニフェジピンＣＲ錠４０ｍｇ「日医工」","E17","","","","","",""
"ニフェジピンＬ錠１０ｍｇ「日医工」","E17","","","","","",""
"ニフェジピンＬ錠２０ｍｇ「サワイ」","E17","","","","","",""
"ニフェジピンカプセル５ｍｇ「サワイ」","E17","","","","","",""
"ニフェジピンＣＲ錠１０ｍｇ「ＮＰ」","E17","","","","","",""
"ニポラジン錠３ｍｇ","C15","","","","","",""
"乳酸カルシウム水和物「ケンエー」原末","C10","","","","","",""
"乳糖水和物「ホエイ」","C10","","","","","",""
"ニューレプチル錠５ｍｇ","E20","","","","","",""
"ニュープロパッチ１３．５ｍｇ","E5","","","","","",""
"ニュープロパッチ１８ｍｇ","E5","","","","","",""
"ニュープロパッチ２．２５ｍｇ","E5","","","","","",""
"ニュープロパッチ４．５ｍｇ","E5","","","","","",""
"ニュープロパッチ９ｍｇ","E5","","","","","",""
"ニューレプチル錠１０ｍｇ","E20","","","","","",""
"尿素クリーム１０％「日医工」","C3","N4","","","","",""
"尿素クリーム２０％「ＳＵＮ」","C3","N4","","","","",""
"ネイリンカプセル１００ｍｇ","E20","","","","","",""
"ネオドパストン配合錠Ｌ１００","E20","P","","","","",""
"ネオメドロールＥＥ軟膏","C7","N1","","","","",""
"ネキシウム懸濁用顆粒分包２０ｍｇ","E3","","","","","",""
"ネキシウムカプセル２０ｍｇ","E20","P","","","","",""
"ネクセトール錠１８０ｍｇ","E20","","","","","",""
"ネシーナ錠１２．５ｍｇ","E20","","","","","",""
"ネシーナ錠２５ｍｇ","E20","","","","","",""
"ネバナック懸濁性点眼液０．１％","E10","","","","","",""
"ネリザ軟膏","N3","","","","","",""
"ネリゾナユニバーサルクリーム０．１％","C6","N2","","","","",""
"ネリゾナクリーム０．１％","C6","","","","","",""
"ネリゾナ軟膏０．１％","N2","C6","G10","","","",""
"ネルボン散１％","G10","","","","","",""
"ノイキノン錠１０ｍｇ","E20","","","","","",""
"ノイロビタン配合錠","A5","","","","","",""
"ノイロトロピン錠４単位","E20","","","","","",""
"ﾉｲﾛﾄﾛﾋﾟﾝ注射液3.6単位(3mL)","N3","","","","","",""
"ノウリアスト錠２０ｍｇ","E20","","","","","",""
"ノバミン錠５ｍｇ","E20","","","","","",""
"ノベルジン錠２５ｍｇ","E17","","","","","",""
"ノボラピッド注　フレックスペン","F","","","","","",""
"ノボリンＲ注フレックスペン","F","","","","","",""
"ノルバスクＯＤ錠２．５ｍｇ","E17","","","","","",""
"ノルバスク錠５ｍｇ","E17","","","","","",""
"バイアスピリン錠１００ｍｇ","A5","P","","","","",""
"ハイチオール錠４０","A5","","","","","",""
"ハイチオール錠８０(８０ｍｇ)","A5","","","","","",""
"ハイボン錠２０ｍｇ","C12","P","C21","A5","","",""
"パキシルＣＲ錠２５ｍｇ","E17","","","","","",""
"パキシルＣＲ錠１２．５ｍｇ","E17","","","","","",""
"パキロビッドパック３００","G6","","","","","",""
"白色ワセリン「ケンエー」","E8","G10","C1","G11","","",""
"バクタ配合錠","E20","","","","","",""
"バクタ配合顆粒","E3","","","","","",""
"バクトラミン配合錠","E20","","","","","",""
"パスタロンソフト軟膏２０％","C8","","","","","",""
"パスタロンソフト軟膏１０％","C7","N4","B5","C8","C9","E8",""
"パスタロンローション１０％","G10","","","","","",""
"バゼドキシフェン錠２０ｍｇ「サワイ」","E20","","","","","",""
"パタノール点眼液０．１％","E10","G7","","","","",""
"含嗽用ハチアズレ顆粒","C5","","","","","",""
"バナン錠１００ｍｇ","E20","","","","","",""
"バファリン配合錠Ａ８１","A5","","","","","",""
"バラシクロビル錠５００ｍｇ「ＳＰＫＫ」","C13","","","","","",""
"バラマイシン軟膏","C5","N4","","","","",""
"バルサルタン錠４０ｍｇ「ＤＳＥＰ」","E20","","","","","",""
"バルサルタン錠８０ｍｇ「トーワ」","E20","P","","","","",""
"バルサルタンＯＤ錠８０ｍｇ「トーワ」","E20","","","","","",""
"バルサルタン錠２０ｍｇ「ＤＳＥＰ」","E20","","","","","",""
"ハルシオン０．２５ｍｇ錠","E19","","","","","",""
"バルトレックス錠５００","E20","","","","","",""
"バルトレックス顆粒５０％","C11","","","","","",""
"ﾊﾞﾙﾌﾟﾛ酸ﾅﾄﾘｳﾑ錠100mg｢DSP｣","E20","","","","","",""
"ﾊﾞﾙﾌﾟﾛ酸ﾅﾄﾘｳﾑ錠200mg｢DSP｣","E20","","","","","",""
"ﾊﾞﾙﾌﾟﾛ酸ﾅﾄﾘｳﾑ徐放錠A100mg｢ﾄｰﾜ｣","E20","","","","","",""
"ﾊﾞﾙﾌﾟﾛ酸ﾅﾄﾘｳﾑ徐放錠A200mg｢ﾄｰﾜ｣","E20","P","","","","",""
"ﾊﾞﾙﾌﾟﾛ酸ﾅﾄﾘｳﾑ細粒20%｢EMEC｣","E3","","","","","",""
"ﾊﾞﾙﾌﾟﾛ酸ﾅﾄﾘｳﾑｼﾛｯﾌﾟ5%｢日医工｣","G2","","","","","",""
"パルモディア錠０．１ｍｇ","E20","","","","","",""
"ハルロピテープ２４ｍｇ","E5","","","","","",""
"ハルロピテープ３２ｍｇ","E5","","","","","",""
"ハルロピテープ４０ｍｇ","E5","","","","","",""
"ハルロピテープ８ｍｇ","E5","","","","","",""
"パロキセチン錠１０ｍｇ「明治」","E17","","","","","",""
"パロキセチン錠１０ｍｇ「ＤＳＥＰ」","E17","","","","","",""
"パロキセチン錠２０ｍｇ「ＤＳＥＰ」","E17","","","","","",""
"ﾊﾛﾍﾟﾘﾄﾞｰﾙ錠0.75mg｢ﾖｼﾄﾐ｣","E17","","","","","",""
"ハロペリドール錠３ｍｇ「アメル」","E17","","","","","",""
"パンテチン錠１００ｍｇ「ＹＤ」","E20","P","","","","",""
"パンテチン散２０％「ＮＩＧ」","C11","","","","","",""
"パンテチン錠６０ｍｇ「ツルハラ」","E20","","","","","",""
"パントシン錠２００","E20","P","","","","",""
"パントシン錠６０","E20","","","","","",""
"ﾋｱﾙﾛﾝ酸Na点眼液0.1%｢ﾆｯﾄｰ｣","E10","","","","","",""
"ヒアレイン点眼液０．１％","E10","","","","","",""
"ヒアレイン点眼液０．３％","E10","","","","","",""
"ピーエイ配合錠","E20","","","","","",""
"ＰＬ配合顆粒","C11","","","","","",""
"ビーフリード輸液","K13","","","","","",""
"ビーマス配合錠","E20","P","","","","",""
"ピオグリタゾン錠１５ｍｇ「ＤＳＥＰ」","E20","","","","","",""
"ビオスリー配合錠","A5","P","","","","",""
"ビオスリー配合ＯＤ錠","A5","P","","","","",""
"ビオスリー配合散","C10","B4","","","","",""
"ﾋﾞｵﾁﾝ･ﾄﾞﾗｲｼﾛｯﾌﾟ0.1%｢ﾎｴｲ｣","E3","","","","","",""
"ビオフェルミン錠剤","A5","P","","","","",""
"ビオフェルミンＲ錠","E20","A5","","","","",""
"ビオフェルミン配合散","C11","E3","","","","",""
"ﾋﾞｵﾚu泡で出てくるﾎﾞﾃﾞｨｳｫｯｼｭ本体 600ml(999999999936)","","","","","","",""
"ビカルタミドＯＤ錠８０ｍｇ「ＮＫ」","E17","","","","","",""
"ﾋﾟｺｽﾙﾌｧｰﾄNa錠2.5mg｢ｻﾜｲ｣","E20","P","","","","",""
"ﾋﾟｺｽﾙﾌｧｰﾄﾅﾄﾘｳﾑ内用液0.75%｢JG｣","B2","","","","","",""
"ビソノテープ２ｍｇ","E5","","","","","",""
"ビソノテープ４ｍｇ","E5","","","","","",""
"ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠0.625mg｢日医工｣","E20","P","","","","",""
"ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠2.5mg｢ｻﾜｲ｣","E20","","","","","",""
"ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠2.5mg｢日医工｣","E20","P","","","","",""
"ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠5mg｢日医工｣","E20","","","","","",""
"ビタダン配合錠","E20","","","","","",""
"ビタノイリンカプセル５０","E20","","","","","",""
"ピタバスタチンＣａ錠２ｍｇ「サワイ」","E20","P","","","","",""
"ﾋﾟﾀﾊﾞｽﾀﾁﾝｶﾙｼｳﾑ錠1mg｢KOG｣","E20","P","","","","",""
"ﾋﾟﾀﾊﾞｽﾀﾁﾝCa･OD錠1mg｢ﾄｰﾜ｣","E20","","","","","",""
"ビタミンＢ６錠３０ｍｇ「Ｆ」","C21","","","","","",""
"ビタメジン配合カプセルＢ２５","E20","","","","","",""
"ビタメジン配合カプセルＢ５０","E20","P","","","","",""
"ビダラビン軟膏３％「ＳＷ」","C5","N4","","","","",""
"ピドキサール錠１０ｍｇ","C14","P","C21","","","",""
"ビビアント錠２０ｍｇ","E20","P","","","","",""
"５％ヒビテン液","D3","","","","","",""
"ヒフデュラ配合皮下注シリンジ","","","","","","",""
"ビブラマイシン錠１００ｍｇ","E20","","","","","",""
"ヒベルナ糖衣錠２５ｍｇ","E20","","","","","",""
"ヒベルナ散１０％","E3","","","","","",""
"ビムパット錠１００ｍｇ","E17","","","","","",""
"ピメノールカプセル５０ｍｇ","E17","","","","","",""
"ピモベンダン錠１．２５ｍｇ「ＴＥ」","E20","","","","","",""
